City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Gravdal,NO,68.1214,13.5031,33.8,80,75,19.57,sleet
1,Bethel,US,41.3712,-73.414,33.8,34,90,10.36,overcast clouds
2,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,75,4.61,broken clouds
3,Ushuaia,AR,-54.8,-68.3,51.8,62,40,18.41,scattered clouds
4,Chokurdakh,RU,70.6333,147.9167,-21.15,100,93,3.53,overcast clouds
5,Hobart,AU,-42.8794,147.3294,62.6,63,0,13.8,clear sky
6,Bowen,AU,-20.0167,148.2333,68.0,88,40,8.05,light rain
7,Hilo,US,19.7297,-155.09,73.99,68,1,4.61,clear sky
8,Butaritari,KI,3.0707,172.7902,81.19,81,44,16.51,light rain
9,Fairbanks,US,64.8378,-147.7164,3.99,71,75,1.99,broken clouds
10,Barrow,US,71.2906,-156.7887,-20.2,76,90,5.75,overcast clouds
11,Qaanaaq,GL,77.484,-69.3632,-14.62,71,100,13.78,overcast clouds
12,Novyy Urengoy,RU,66.0833,76.6333,24.4,97,100,6.17,overcast clouds
13,Mitsamiouli,KM,-11.3847,43.2844,82.42,77,27,10.47,light rain
14,Chabahar,IR,25.2919,60.643,80.46,60,0,9.35,clear sky
15,Castro,BR,-24.7911,-50.0119,72.03,47,1,2.37,clear sky
16,New Norfolk,AU,-42.7826,147.0587,62.6,59,0,13.8,clear sky
17,Avera,US,33.194,-82.5271,53.6,28,1,10.36,clear sky
18,Karacakoy,TR,41.4029,28.3834,53.01,81,0,3.44,clear sky
19,Kaoma,ZM,-14.7833,24.8,70.63,69,97,4.7,overcast clouds
20,Birjand,IR,32.8663,59.2211,62.6,14,0,9.22,clear sky
21,Bredasdorp,ZA,-34.5322,20.0403,53.6,82,27,3.44,scattered clouds
22,Searcy,US,35.2506,-91.7363,55.0,44,1,8.05,clear sky
23,Rikitea,PF,-23.1203,-134.9692,77.04,79,98,10.6,light rain
24,Livingston,GB,55.9029,-3.5226,48.2,66,90,2.3,overcast clouds
25,Tuy Hoa,VN,13.0833,109.3,75.99,94,89,1.77,overcast clouds
26,Punta Arenas,CL,-53.15,-70.9167,50.0,62,0,11.5,clear sky
27,Port Alfred,ZA,-33.5906,26.891,63.5,79,80,14.14,broken clouds
28,Nikolskoye,RU,59.7035,30.7861,36.0,86,0,4.47,clear sky
29,Baruun-Urt,MN,46.6806,113.2792,25.9,46,2,2.42,clear sky
30,Henties Bay,NA,-22.116,14.2845,66.51,77,0,9.46,clear sky
31,Tiksi,RU,71.6872,128.8694,-16.94,100,100,7.54,overcast clouds
32,Mar Del Plata,AR,-38.0023,-57.5575,68.0,73,75,11.5,broken clouds
33,Deputatskiy,RU,69.3,139.9,-15.41,100,100,0.67,overcast clouds
34,Bani Walid,LY,31.7566,13.9942,72.34,22,0,7.29,clear sky
35,Pringsewu,ID,-5.3582,104.9744,73.65,95,95,1.12,very heavy rain
36,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,26.6,59,6,15.66,clear sky
37,Spasskoye,RU,44.6108,132.7969,43.92,60,100,13.87,light rain
38,Ilulissat,GL,69.2167,-51.1,10.4,61,40,6.91,scattered clouds
39,Norman Wells,CA,65.282,-126.8329,-0.4,78,90,6.91,light snow
40,Cairns,AU,-16.9167,145.7667,75.2,83,75,12.66,broken clouds
41,Auki,SB,-8.7676,160.7034,77.11,85,90,3.96,overcast clouds
42,Rovereto,IT,45.8896,11.0387,62.01,60,75,9.22,broken clouds
43,Bryan,US,30.6744,-96.37,68.0,27,1,10.36,clear sky
44,Umm Lajj,SA,25.0213,37.2685,69.55,45,0,13.94,clear sky
45,Hermanus,ZA,-34.4187,19.2345,61.0,75,69,1.99,broken clouds
46,Clearwater,US,27.9659,-82.8001,70.0,30,1,9.22,clear sky
47,Ribeira Grande,PT,38.5167,-28.7,60.8,88,75,21.85,broken clouds
48,Mahebourg,MU,-20.4081,57.7,77.0,94,75,5.75,light rain
49,San Quintin,MX,30.4833,-115.95,65.71,61,0,9.01,clear sky
50,Aberdeen,GB,57.1437,-2.0981,44.6,70,5,11.5,clear sky
51,Moyeuvre-Grande,FR,49.2517,6.0475,48.0,58,0,5.01,clear sky
52,Tasiilaq,GL,65.6145,-37.6368,30.2,93,90,8.05,overcast clouds
53,Busselton,AU,-33.65,115.3333,62.01,84,100,1.01,overcast clouds
