City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mnogovershinnyy,RU,2021-03-26 22:33:39,53.9353,139.9242,21.54,78,10,3.51
1,Letychiv,UA,2021-03-26 22:33:40,49.3826,27.6305,40.44,71,100,2.93
2,Rikitea,PF,2021-03-26 22:30:09,-23.1203,-134.9692,79.2,72,1,17.74
3,Georgetown,MY,2021-03-26 22:33:40,5.4112,100.3354,78.8,100,40,2.59
4,Clyde River,CA,2021-03-26 22:33:32,70.4692,-68.5914,-16.6,76,75,5.32
5,Formosa Do Rio Preto,BR,2021-03-26 22:33:41,-11.0483,-45.1931,74.7,59,100,3.27
6,Port Lincoln,AU,2021-03-26 22:33:41,-34.7333,135.8667,63.43,65,30,9.37
7,Hermanus,ZA,2021-03-26 22:33:19,-34.4187,19.2345,63.0,89,30,5.01
8,Porto Novo,BJ,2021-03-26 22:33:41,6.4965,2.6036,84.2,79,40,13.8
9,Whitehorse,CA,2021-03-26 22:33:42,60.7161,-135.0538,37.99,48,75,11.5
10,Albany,US,2021-03-26 22:33:42,42.6001,-73.9662,57.2,58,75,21.85
11,Sao Joao Da Barra,BR,2021-03-26 22:33:42,-21.6403,-41.0511,80.6,69,0,13.8
12,Fort Nelson,CA,2021-03-26 22:33:43,58.8053,-122.7002,39.2,52,75,3.44
13,Lorengau,PG,2021-03-26 22:32:23,-2.0226,147.2712,82.67,77,100,4.81
14,Atuona,PF,2021-03-26 22:31:17,-9.8,-139.0333,80.85,75,20,20.07
15,Punta Arenas,CL,2021-03-26 22:33:22,-53.15,-70.9167,53.6,58,75,14.97
16,Tuktoyaktuk,CA,2021-03-26 22:33:39,69.4541,-133.0374,-7.6,77,40,10.36
17,Port Alfred,ZA,2021-03-26 22:33:44,-33.5906,26.891,70.05,86,90,23.09
18,Sibiti,CG,2021-03-26 22:33:44,-3.6819,13.3499,68.81,96,100,1.5
19,Chake Chake,TZ,2021-03-26 22:33:44,-5.2459,39.7666,79.92,75,68,4.27
20,La Macarena,CO,2021-03-26 22:33:45,2.1837,-73.7849,73.53,94,97,3.47
21,East London,ZA,2021-03-26 22:31:22,-33.0153,27.9116,67.66,87,59,11.61
22,Castro,BR,2021-03-26 22:30:21,-24.7911,-50.0119,68.49,85,63,4.21
23,Haines Junction,CA,2021-03-26 22:33:45,60.7522,-137.5108,32.0,59,100,3.44
24,Osakarovka,KZ,2021-03-26 22:33:46,50.565,72.5692,33.19,99,100,9.75
25,Touros,BR,2021-03-26 22:33:46,-5.1989,-35.4608,77.0,88,75,5.75
26,Puerto Ayora,EC,2021-03-26 22:31:13,-0.7393,-90.3518,82.4,74,20,9.22
27,Katsuura,JP,2021-03-26 22:33:47,35.1333,140.3,55.0,53,11,3.0
28,Mamakan,RU,2021-03-26 22:33:47,57.8161,114.0028,19.54,95,100,0.54
29,Hobyo,SO,2021-03-26 22:33:47,5.3505,48.5268,79.47,69,8,11.74
30,Kununurra,AU,2021-03-26 22:33:48,-15.7667,128.7333,75.2,50,57,3.65
31,Walvis Bay,NA,2021-03-26 22:33:48,-22.9575,14.5053,62.01,100,36,3.44
32,Makaha,US,2021-03-26 22:33:48,21.4694,-158.2175,80.6,61,75,8.05
33,Kasongo-Lunda,CD,2021-03-26 22:33:49,-6.4667,16.8167,69.94,98,100,1.45
34,Jamestown,US,2021-03-26 22:29:57,42.097,-79.2353,42.01,93,90,16.02
35,Bambous Virieux,MU,2021-03-26 22:33:49,-20.3428,57.7575,77.0,88,20,3.44
36,Richards Bay,ZA,2021-03-26 22:33:49,-28.783,32.0377,66.88,93,32,5.97
37,Hammerfest,NO,2021-03-26 22:33:50,70.6634,23.6821,37.4,65,0,11.5
38,Yellowknife,CA,2021-03-26 22:28:52,62.456,-114.3525,18.0,66,20,9.22
39,Kodiak,US,2021-03-26 22:31:25,57.79,-152.4072,37.4,48,40,12.66
40,Mataura,NZ,2021-03-26 22:33:50,-46.1927,168.8643,62.01,74,100,7.0
41,Opuwo,NA,2021-03-26 22:33:51,-18.0607,13.84,67.05,69,98,5.79
42,Zhicheng,CN,2021-03-26 22:33:51,30.2956,111.5047,55.0,95,100,2.93
43,Vaini,TO,2021-03-26 22:32:25,-21.2,-175.2,84.2,79,75,8.05
44,Lompoc,US,2021-03-26 22:32:32,34.6391,-120.4579,64.0,55,1,14.97
45,Calabozo,VE,2021-03-26 22:33:52,8.9242,-67.4293,88.56,36,65,7.87
